Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5758736,9601,0.001667,2.7158,1.0,0.004528
Adams,517421,817,0.001581,2.8124,1.0,0.004446
Alamosa,16233,50,0.003142,2.9988,1.0638,0.010023
Arapahoe,656590,1100,0.001677,2.7672,1.0,0.00464
Archuleta,14029,9,0.000713,2.4605,1.0,0.001754
Baca,3581,2,0.000838,2.9494,1.0,0.002471
Bent,5577,6,0.001255,2.9199,1.0,0.003665
Boulder,326196,475,0.001459,2.6233,1.0,0.003828
Broomfield,70465,99,0.001419,2.7922,1.0,0.003963
Chaffee,20356,55,0.002751,2.6821,1.3415,0.009898
Cheyenne,1831,8,0.004915,3.226,2.0,0.031713
Clear Creek,9700,5,0.000619,2.3588,1.0,0.001459
Conejos,8205,7,0.000975,2.7805,1.0,0.002711
Costilla,3887,3,0.001029,2.4148,1.0,0.002485
Crowley,6061,52,0.008744,2.8315,2.0,0.04952
Custer,5068,1,0.000395,2.4302,1.0,0.000959
Delta,31162,81,0.002631,3.0313,1.0,0.007977
Denver,727211,1129,0.001554,2.625,1.0,0.004079
Dolores,2055,1,0.000973,2.3722,1.0,0.002309
Douglas,351154,603,0.00172,2.7472,1.0806,0.005106
Eagle,55127,182,0.00332,2.8393,1.0,0.009425
Elbert,26729,38,0.001459,2.8276,1.1875,0.004899
El Paso,720403,928,0.00129,2.7601,1.0,0.003559
Fremont,47839,101,0.002132,2.4846,1.2024,0.00637
Garfield,60061,178,0.00298,2.9545,1.424,0.012539
Gilpin,6243,5,0.000961,2.6829,1.0,0.002578
Grand,15734,71,0.004576,3.2417,1.0,0.014834
Gunnison,17462,62,0.003608,3.1009,1.0,0.011187
Hinsdale,820,0,0.00122,2.7158,1.0,0.003312
Huerfano,6897,5,0.00087,2.4148,2.0,0.004201
Jackson,1392,1,0.001437,3.163,1.0,0.004545
Jefferson,582881,788,0.001354,2.6488,1.0,0.003585
Kiowa,1406,4,0.003556,2.3103,1.3333,0.010955
Kit Carson,7097,8,0.001268,2.879,1.0,0.003651
Lake,8127,45,0.00566,2.9556,2.0,0.033459
La Plata,56221,39,0.000711,2.4462,1.0,0.00174
Larimer,356899,537,0.001507,2.7573,1.0,0.004156
Las Animas,14506,15,0.001103,2.9972,1.0,0.003306
Lincoln,5701,70,0.012454,3.411,1.2963,0.055068
Logan,22409,51,0.00232,2.838,1.0,0.006586
Mesa,154210,565,0.00367,2.9128,1.0,0.010691
Mineral,769,4,0.006502,4.0804,1.0,0.026531
Moffat,13283,14,0.001129,2.8716,1.0,0.003243
Montezuma,26183,34,0.001337,2.7101,1.0,0.003623
Montrose,42758,119,0.002806,3.0815,1.0,0.008648
Morgan,29068,24,0.00086,2.5435,1.0,0.002188
Otero,18278,10,0.000602,3.0562,1.0,0.001839
Ouray,4952,18,0.003837,3.049,1.3846,0.016198
Park,18845,16,0.000902,2.5465,1.1429,0.002625
Phillips,4265,6,0.001641,2.4389,1.0,0.004003
Pitkin,17767,69,0.00394,2.7009,1.0,0.010641
Prowers,12172,23,0.001972,2.8709,1.0455,0.005918
Pueblo,168424,163,0.000974,2.565,1.0,0.002498
Rio Blanco,6324,22,0.003637,2.753,1.0,0.010012
Rio Grande,11267,35,0.003195,3.2727,1.0,0.010457
Routt,25638,109,0.004291,2.8985,1.0,0.012436
Saguache,6824,2,0.00044,2.5075,1.0,0.001102
San Juan,728,2,0.004121,2.3573,1.0,0.009714
San Miguel,8179,85,0.010515,3.256,1.0,0.034236
Sedgwick,2248,6,0.003114,2.6717,1.2,0.009983
Summit,31011,129,0.004192,2.879,1.0,0.012069
Teller,25388,33,0.001339,2.7784,1.0,0.003721
Washington,4908,0,0.000204,2.3355,1.0,0.000476
Weld,324492,461,0.001424,2.8315,1.0,0.004031
Yuma,10019,15,0.001597,2.9742,1.0,0.00475
